Country,Number of articles,Coordinates
United States,5133,39.7837304 -100.4458824
Japan,1313,36.5748441 139.2394179
Germany,848,51.0834196 10.4234469
France,701,46.603354 1.8883335
Italy,518,42.6384261 12.674297
Canada,452,61.0666922 -107.991707
China,421,35.000074 104.999927
United Kingdom,407,54.7023545 -3.2765752
South Korea,357,35.3985008 127.937111
Netherlands,278,52.2379891 5.53460738162
Taiwan,178,23.9739374 120.9820179
Austria,175,47.2000338 13.199959
Spain,169,40.0028028 -4.0031039
Sweden,163,59.6749712 14.5208584
Australia,152,-24.7761085 134.755
Switzerland,119,46.7985624 8.2319736
Turkey,117,38.9597594 34.9249653
India,117,22.3511148 78.6677428
Belgium,110,50.6407351 4.66696
Czech Republic,81,49.8167003 15.4749544
Denmark,59,55.670249 10.3333283
Mexico,59,19.4326009 -99.1333415
Norway,58,64.574131 11.5270102892
Brazil,52,-10.3333332 -53.1999999
Greece,49,39.000041 21.9999569
Hungary,49,47.1817585 19.5060937
Poland,37,52.0977181 19.0258159
Israel,34,30.8760272 35.0015196
Finland,29,63.2467777 25.9209164
Russian Federation,25,64.6863136 97.7453061
Iran,20,32.9407496 52.9471344
Egypt,19,26.2540493 29.2675469
Singapore,18,1.2904527 103.852038
Hong Kong,18,22.2793278 114.1628131
Thailand,17,14.8971921 100.83273
Portugal,10,40.033265 -7.8896262
Ireland,9,52.865196 -7.9794598
Malaysia,9,2.3923759 112.8471939
Argentina,8,-34.9964962 -64.9672816
Croatia,8,45.5643442 17.0118954
Slovakia,7,48.7411522 19.4528646
Chile,7,-31.7613364 -71.3187696
Morocco,7,31.1728192 -7.3366042
New Zealand,7,-41.500083 172.8344077
South Africa,6,-28.8166235 24.991639
Saudi Arabia,5,25.6242618 42.3528328
Pakistan,5,30.3308401 71.247499
Slovenia,4,45.8133113 14.4808369
Romania,4,45.9852129 24.6859225
Cuba,4,23.0131338 -80.8328747
Lithuania,3,55.3500003 23.7499998
Lebanon,3,33.8750629 35.843409
Tunisia,3,33.8439408 9.400138
Bosnia and Herzegovina,2,44.3053476 17.5961467
Puerto Rico,2,18.2017809 -66.5841245
Oman,2,21.0000287 57.0036901
Serbia,2,44.1534121 20.55144
Costa Rica,1,10.2735633 -84.0739101
Venezuela,1,8.0018709 -66.1109317
Nigeria,1,9.6000359 7.9999721
Bangladesh,1,24.4768783 90.2932426
Jordan,1,31.1667049 36.941628
Ukraine,1,49.4871968 31.2718321
Philippines,1,12.7503486 122.7312101
Latvia,1,56.8666904 24.5999717
Russia,1,64.6863136 97.7453061
Albania,1,41.000028 19.9999619
United Arab Emirates,1,24.0002488 53.9994829
Viet Nam,1,13.2904027 108.4265113
Iceland,1,64.9841821 -18.1059012
Cyprus,1,34.9823018 33.1451285
